organism	type	gene_name	gene_id	primer_id	use_well	use_plate	barcode	100um_f	POSf	100um_r	POSr	dryf	IDf1	IDf2	dryr	IDr1	IDr2	comment	QC	sn5p	sn3p
9606	gene	ANAPC5	51433	6015109	C2	8-2.5uM													1		
9606	gene	CDC6	990	6016488	C3	8-2.5uM													1		
9606	gene	CHEK1	1111	6060676	C4	8-2.5uM													1		
9606	gene	CHEK2	11200	6090269	C5	8-2.5uM													1		
9606	gene	HDAC1	3065	6031907	C6	8-2.5uM													1		
9606	gene	ORC1L	4998	77056	C7	8-2.5uM													1		
9606	gene	PCNA	5111	25077	C8	8-2.5uM													1		
9606	gene	SMC1A	8243	6009794	C9	8-2.5uM													1		
9606	gene	YWHAE	7531	12939	C10	8-2.5uM													1		
