08-30	20.0	19.0	14.0	14.0	20.0	20.0
08-32	17.0	17.0	12.0	9.0	17.0	17.0
08-34	17.0	16.0	9.0	10.0	17.0	17.0
08-36	20.0	20.0	14.0	14.0	20.0	20.0
08-38	19.0	17.0	12.0	10.0	18.0	18.0
08-40	19.0	19.0	13.0	12.0	17.0	19.0
08-42	20.0	18.0	12.0	10.0	20.0	20.0
08-44	18.0	18.0	12.0	10.0	16.0	18.0
08-46	20.0	20.0	13.0	13.0	18.0	20.0
08-48	19.0	20.0	13.0	12.0	20.0	20.0
08-50	21.0	20.0	14.0	12.0	19.0	20.0
08-52	21.0	20.0	12.0	13.0	18.0	20.0
08-54	22.0	22.0	14.0	13.0	19.0	22.0
08-56	20.0	20.0	14.0	13.0	18.0	20.0
08-58	21.0	21.0	14.0	14.0	19.0	21.0
09-00	21.0	21.0	16.0	16.0	21.0	22.0
09-02	22.0	22.0	15.0	14.0	20.0	21.0
09-04	22.0	22.0	15.0	15.0	20.0	21.0
09-06	22.0	22.0	15.0	14.0	21.0	22.0
09-08	22.0	22.0	16.0	15.0	20.0	22.0
09-10	22.0	21.0	16.0	15.0	22.0	22.0
09-12	23.0	22.0	17.0	16.0	23.0	23.0
09-14	22.0	22.0	16.0	15.0	22.0	22.0
09-16	23.0	23.0	17.0	15.0	21.0	21.0
09-18	23.0	23.0	18.0	14.0	23.0	23.0
09-20	22.0	22.0	17.0	15.0	22.0	22.0
09-22	22.0	23.0	16.0	15.0	23.0	23.0
09-24	22.0	23.0	16.0	18.0	23.0	23.0
09-26	22.0	22.0	16.0	17.0	21.0	22.0
09-28	23.0	23.0	16.0	17.0	22.0	23.0
09-30	23.0	23.0	18.0	16.0	23.0	23.0
09-32	22.0	22.0	16.0	17.0	22.0	22.0
09-34	22.0	22.0	15.0	16.0	22.0	23.0
09-36	24.0	24.0	16.0	17.0	21.0	24.0
09-38	22.0	22.0	16.0	17.0	22.0	22.0
09-40	22.0	22.0	16.0	17.0	22.0	22.0
09-42	23.0	22.0	17.0	17.0	23.0	23.0
09-44	23.0	22.0	17.0	16.0	24.0	24.0
09-46	23.0	22.0	16.0	17.0	23.0	23.0
09-48	24.0	22.0	16.0	15.0	24.0	24.0
09-50	23.0	22.0	17.0	16.0	23.0	23.0
09-52	24.0	22.0	17.0	17.0	24.0	24.0
09-54	23.0	22.0	18.0	18.0	23.0	23.0
09-56	23.0	22.0	16.0	17.0	23.0	23.0
09-58	23.0	22.0	18.0	17.0	24.0	24.0
10-00	24.0	24.0	20.0	18.0	24.0	24.0
10-02	23.0	22.0	19.0	17.0	24.0	24.0
10-04	24.0	22.0	19.0	18.0	24.0	24.0
10-06	24.0	24.0	20.0	18.0	24.0	24.0
10-08	24.0	23.0	18.0	16.0	24.0	24.0
10-10	23.0	21.0	18.0	15.0	23.0	23.0
10-12	23.0	23.0	18.0	18.0	23.0	23.0
10-14	23.0	23.0	17.0	18.0	23.0	23.0
10-16	24.0	24.0	17.0	18.0	22.0	24.0
10-18	25.0	25.0	17.0	17.0	22.0	25.0
10-20	24.0	24.0	20.0	17.0	24.0	24.0
10-22	23.0	23.0	17.0	17.0	23.0	24.0
10-24	24.0	24.0	18.0	20.0	23.0	25.0
10-26	24.0	24.0	18.0	19.0	23.0	24.0
10-28	23.0	22.0	17.0	19.0	23.0	23.0
10-30	24.0	23.0	20.0	18.0	24.0	24.0
10-32	23.0	22.0	17.0	19.0	23.0	23.0
10-34	23.0	23.0	17.0	18.0	23.0	23.0
10-36	24.0	24.0	19.0	18.0	24.0	24.0
10-38	24.0	22.0	17.0	17.0	24.0	24.0
10-40	23.0	23.0	18.0	19.0	24.0	25.0
