00-00	55.0	53.0	50.0	55.0	52.0	55.0
00-02	46.0	42.0	40.0	45.0	42.0	45.0
00-04	47.0	45.0	47.0	43.0	42.0	47.0
00-06	52.0	52.0	44.0	43.0	42.0	52.0
00-08	44.0	44.0	44.0	40.0	41.0	44.0
00-10	50.0	50.0	40.0	40.0	42.0	50.0
00-12	46.0	46.0	45.0	43.0	43.0	46.0
00-14	44.0	44.0	44.0	40.0	41.0	44.0
00-16	49.0	48.0	44.0	44.0	46.0	49.0
00-18	46.0	44.0	42.0	46.0	44.0	46.0
00-20	50.0	50.0	41.0	41.0	42.0	50.0
00-22	56.0	56.0	54.0	55.0	55.0	56.0
00-24	46.0	46.0	45.0	43.0	43.0	46.0
00-26	47.0	43.0	40.0	47.0	43.0	48.0
00-28	46.0	42.0	40.0	43.0	46.0	46.0
00-30	47.0	45.0	40.0	44.0	47.0	47.0
00-32	46.0	46.0	45.0	42.0	42.0	46.0
00-34	45.0	45.0	43.0	41.0	42.0	45.0
00-36	44.0	44.0	43.0	42.0	41.0	44.0
00-38	50.0	49.0	48.0	49.0	50.0	50.0
00-40	46.0	45.0	46.0	42.0	41.0	46.0
00-42	46.0	45.0	45.0	43.0	42.0	45.0
00-44	46.0	45.0	46.0	43.0	42.0	46.0
00-46	49.0	49.0	41.0	40.0	41.0	49.0
00-48	46.0	44.0	46.0	41.0	41.0	46.0
00-50	47.0	46.0	47.0	43.0	44.0	48.0
00-52	46.0	43.0	40.0	46.0	43.0	46.0
00-54	48.0	48.0	47.0	46.0	45.0	48.0
00-56	45.0	44.0	45.0	41.0	42.0	46.0
00-58	47.0	44.0	47.0	41.0	41.0	47.0
01-00	45.0	45.0	45.0	43.0	42.0	45.0
01-02	49.0	49.0	41.0	41.0	42.0	49.0
01-04	49.0	49.0	41.0	40.0	42.0	49.0
01-06	49.0	49.0	40.0	41.0	42.0	49.0
01-08	49.0	49.0	40.0	40.0	41.0	49.0
01-10	45.0	43.0	45.0	40.0	41.0	45.0
01-12	46.0	45.0	45.0	41.0	41.0	45.0
01-14	49.0	49.0	40.0	39.0	40.0	49.0
01-16	58.0	58.0	58.0	57.0	56.0	58.0
01-18	44.0	42.0	44.0	40.0	41.0	44.0
01-20	48.0	48.0	43.0	39.0	41.0	48.0
01-22	52.0	52.0	42.0	42.0	42.0	52.0
01-24	45.0	44.0	41.0	45.0	43.0	45.0
01-26	49.0	49.0	40.0	40.0	40.0	49.0
01-28	50.0	50.0	42.0	41.0	41.0	50.0
01-30	45.0	45.0	44.0	40.0	41.0	45.0
01-32	48.0	48.0	39.0	38.0	40.0	48.0
01-34	49.0	49.0	40.0	39.0	40.0	49.0
01-36	47.0	47.0	43.0	38.0	40.0	47.0
01-38	49.0	49.0	39.0	39.0	41.0	49.0
01-40	45.0	44.0	45.0	42.0	41.0	45.0
01-42	48.0	48.0	41.0	39.0	40.0	48.0
01-44	48.0	48.0	40.0	39.0	39.0	48.0
01-46	47.0	47.0	39.0	38.0	40.0	47.0
01-48	48.0	48.0	40.0	39.0	41.0	48.0
01-50	43.0	42.0	43.0	38.0	40.0	44.0
01-52	48.0	48.0	39.0	38.0	40.0	48.0
01-54	48.0	48.0	40.0	39.0	38.0	47.0
01-56	47.0	47.0	40.0	38.0	39.0	48.0
01-58	48.0	48.0	39.0	38.0	39.0	48.0
02-00	48.0	48.0	40.0	39.0	40.0	48.0
02-02	45.0	42.0	45.0	40.0	40.0	45.0
02-04	43.0	41.0	43.0	39.0	40.0	43.0
02-06	48.0	48.0	39.0	39.0	40.0	48.0
02-08	47.0	47.0	38.0	38.0	39.0	47.0
02-10	44.0	43.0	44.0	39.0	39.0	44.0
02-12	43.0	44.0	44.0	40.0	41.0	44.0
02-14	45.0	42.0	45.0	39.0	39.0	45.0
02-16	44.0	42.0	44.0	39.0	40.0	44.0
02-18	44.0	43.0	44.0	39.0	40.0	44.0
