00-00	43.0	43.0	39.0	41.0	43.0
00-02	43.0	43.0	37.0	40.0	42.0
00-04	42.0	42.0	39.0	40.0	42.0
00-06	43.0	43.0	39.0	40.0	42.0
00-08	43.0	43.0	38.0	40.0	42.0
00-10	43.0	43.0	39.0	40.0	42.0
00-12	43.0	42.0	39.0	41.0	43.0
00-14	51.0	51.0	44.0	44.0	45.0
00-16	50.0	50.0	44.0	44.0	45.0
00-18	45.0	45.0	41.0	42.0	43.0
00-20	45.0	45.0	40.0	41.0	43.0
00-22	43.0	43.0	40.0	42.0	42.0
00-24	43.0	43.0	39.0	41.0	41.0
00-26	43.0	43.0	39.0	40.0	41.0
00-28	43.0	43.0	40.0	41.0	41.0
00-30	43.0	43.0	39.0	40.0	42.0
00-32	43.0	43.0	39.0	40.0	42.0
00-34	43.0	43.0	38.0	40.0	42.0
00-36	43.0	43.0	38.0	41.0	41.0
00-38	42.0	42.0	38.0	39.0	42.0
00-40	43.0	43.0	39.0	40.0	41.0
00-42	42.0	42.0	38.0	40.0	42.0
00-44	42.0	42.0	38.0	40.0	42.0
00-46	43.0	43.0	39.0	40.0	41.0
00-48	43.0	43.0	38.0	39.0	41.0
00-50	43.0	43.0	39.0	40.0	41.0
00-52	43.0	43.0	38.0	40.0	43.0
00-54	43.0	43.0	39.0	41.0	42.0
00-56	42.0	41.0	38.0	40.0	42.0
00-58	42.0	42.0	38.0	40.0	41.0
01-00	42.0	42.0	38.0	40.0	42.0
01-02	43.0	43.0	38.0	39.0	41.0
01-04	42.0	42.0	38.0	40.0	41.0
01-06	43.0	43.0	38.0	39.0	42.0
01-08	41.0	41.0	39.0	39.0	41.0
01-10	42.0	42.0	37.0	40.0	40.0
01-12	43.0	43.0	39.0	40.0	42.0
01-14	42.0	42.0	38.0	39.0	42.0
01-16	43.0	43.0	38.0	40.0	42.0
01-18	42.0	42.0	39.0	40.0	42.0
01-20	42.0	42.0	40.0	38.0	42.0
01-22	48.0	48.0	44.0	43.0	45.0
01-24	48.0	48.0	45.0	46.0	48.0
01-26	48.0	48.0	44.0	44.0	45.0
01-28	49.0	49.0	45.0	44.0	45.0
01-30	49.0	49.0	45.0	45.0	46.0
01-32	49.0	49.0	44.0	44.0	46.0
