00-00	17.0	17.0	12.0	9.0	16.0	17.0
00-02	15.0	15.0	11.0	8.0	15.0	15.0
00-04	15.0	14.0	9.0	9.0	15.0	15.0
00-06	16.0	16.0	11.0	9.0	14.0	16.0
00-08	14.0	14.0	9.0	8.0	14.0	14.0
00-10	16.0	15.0	10.0	8.0	14.0	15.0
00-12	15.0	15.0	9.0	10.0	14.0	15.0
00-14	15.0	14.0	10.0	8.0	15.0	15.0
00-16	16.0	16.0	9.0	9.0	13.0	16.0
00-18	17.0	17.0	11.0	10.0	15.0	16.0
00-20	16.0	16.0	11.0	10.0	14.0	16.0
00-22	16.0	16.0	11.0	9.0	13.0	16.0
00-24	15.0	15.0	11.0	9.0	16.0	16.0
00-26	16.0	16.0	9.0	10.0	14.0	16.0
00-28	14.0	14.0	10.0	10.0	13.0	14.0
00-30	17.0	17.0	11.0	9.0	15.0	15.0
00-32	16.0	16.0	10.0	10.0	13.0	15.0
00-34	16.0	16.0	11.0	9.0	13.0	17.0
00-36	17.0	16.0	10.0	9.0	17.0	17.0
00-38	15.0	15.0	10.0	9.0	15.0	15.0
00-40	17.0	17.0	12.0	10.0	15.0	17.0
00-42	16.0	16.0	11.0	10.0	15.0	16.0
00-44	15.0	14.0	8.0	9.0	15.0	15.0
00-46	16.0	15.0	10.0	10.0	13.0	16.0
00-48	17.0	17.0	10.0	9.0	16.0	17.0
00-50	15.0	14.0	9.0	9.0	15.0	16.0
00-52	15.0	14.0	10.0	9.0	14.0	15.0
00-54	15.0	15.0	11.0	10.0	15.0	15.0
00-56	15.0	15.0	11.0	9.0	16.0	16.0
00-58	15.0	15.0	11.0	9.0	15.0	16.0
01-00	16.0	16.0	12.0	10.0	15.0	16.0
01-02	16.0	16.0	9.0	10.0	13.0	15.0
01-04	15.0	15.0	9.0	10.0	14.0	16.0
01-06	16.0	16.0	11.0	10.0	16.0	16.0
01-08	15.0	15.0	8.0	9.0	14.0	15.0
01-10	14.0	14.0	8.0	9.0	14.0	14.0
01-12	17.0	17.0	10.0	11.0	15.0	17.0
01-14	15.0	15.0	9.0	9.0	15.0	15.0
01-16	16.0	16.0	11.0	10.0	13.0	16.0
01-18	16.0	16.0	11.0	10.0	14.0	16.0
01-20	17.0	17.0	11.0	10.0	15.0	17.0
01-22	16.0	16.0	8.0	10.0	14.0	16.0
01-24	18.0	18.0	10.0	10.0	14.0	18.0
01-26	17.0	17.0	9.0	10.0	14.0	17.0
01-28	16.0	15.0	9.0	10.0	12.0	15.0
01-30	16.0	16.0	8.0	10.0	14.0	16.0
01-32	15.0	15.0	10.0	9.0	13.0	15.0
01-34	17.0	17.0	9.0	11.0	14.0	16.0
01-36	16.0	16.0	10.0	10.0	15.0	16.0
01-38	15.0	15.0	10.0	9.0	14.0	15.0
01-40	15.0	15.0	11.0	10.0	15.0	15.0
01-42	16.0	16.0	12.0	10.0	15.0	16.0
01-44	15.0	15.0	11.0	9.0	15.0	15.0
01-46	15.0	15.0	9.0	9.0	14.0	15.0
01-48	16.0	16.0	10.0	10.0	15.0	16.0
01-50	14.0	14.0	9.0	9.0	14.0	14.0
01-52	15.0	15.0	11.0	10.0	14.0	15.0
01-54	15.0	15.0	10.0	11.0	15.0	15.0
01-56	14.0	14.0	11.0	9.0	14.0	14.0
01-58	15.0	14.0	11.0	10.0	14.0	15.0
02-00	17.0	17.0	12.0	10.0	15.0	17.0
02-02	17.0	17.0	10.0	10.0	14.0	17.0
02-04	15.0	14.0	10.0	9.0	14.0	15.0
02-06	16.0	16.0	11.0	11.0	14.0	16.0
02-08	16.0	16.0	9.0	9.0	15.0	15.0
02-10	16.0	16.0	10.0	9.0	14.0	16.0
02-12	16.0	16.0	11.0	10.0	14.0	16.0
02-14	15.0	15.0	10.0	9.0	14.0	15.0
02-16	16.0	16.0	10.0	9.0	13.0	16.0
02-18	17.0	17.0	11.0	9.0	14.0	17.0
02-20	17.0	17.0	9.0	10.0	15.0	17.0
02-22	17.0	17.0	9.0	10.0	14.0	16.0
02-24	17.0	17.0	11.0	9.0	14.0	17.0
02-26	17.0	17.0	9.0	8.0	14.0	16.0
02-28	15.0	15.0	8.0	10.0	14.0	15.0
02-30	16.0	16.0	9.0	11.0	14.0	16.0
02-32	17.0	17.0	10.0	9.0	14.0	16.0
02-34	16.0	16.0	9.0	10.0	13.0	16.0
02-36	18.0	18.0	10.0	10.0	15.0	18.0
02-38	15.0	15.0	8.0	8.0	13.0	16.0
02-40	17.0	17.0	9.0	10.0	15.0	17.0
02-42	16.0	16.0	10.0	9.0	15.0	16.0
02-44	15.0	15.0	10.0	9.0	15.0	15.0
02-46	15.0	15.0	10.0	8.0	14.0	14.0
02-48	15.0	15.0	10.0	10.0	14.0	15.0
02-50	16.0	16.0	9.0	9.0	14.0	16.0
02-52	15.0	15.0	9.0	9.0	14.0	16.0
02-54	16.0	16.0	11.0	10.0	13.0	17.0
02-56	15.0	15.0	8.0	10.0	13.0	15.0
02-58	15.0	15.0	9.0	9.0	14.0	16.0
03-00	16.0	16.0	10.0	11.0	16.0	16.0
03-02	15.0	15.0	8.0	10.0	12.0	15.0
03-04	15.0	15.0	10.0	10.0	14.0	15.0
03-06	16.0	15.0	10.0	11.0	16.0	16.0
03-08	15.0	16.0	9.0	10.0	13.0	16.0
03-10	16.0	16.0	9.0	9.0	13.0	16.0
03-12	15.0	15.0	8.0	10.0	14.0	16.0
03-14	15.0	15.0	9.0	9.0	14.0	15.0
03-16	15.0	15.0	9.0	10.0	14.0	16.0
03-18	17.0	17.0	10.0	10.0	15.0	17.0
03-20	17.0	17.0	10.0	11.0	14.0	17.0
03-22	15.0	15.0	8.0	9.0	14.0	15.0
03-24	16.0	16.0	12.0	11.0	14.0	16.0
03-26	16.0	16.0	9.0	9.0	15.0	16.0
03-28	16.0	15.0	10.0	9.0	16.0	16.0
03-30	16.0	16.0	11.0	9.0	15.0	16.0
03-32	15.0	15.0	9.0	9.0	15.0	15.0
03-34	15.0	15.0	9.0	8.0	15.0	15.0
03-36	16.0	16.0	11.0	10.0	16.0	16.0
03-38	16.0	15.0	10.0	8.0	15.0	15.0
03-40	17.0	17.0	9.0	9.0	15.0	16.0
03-42	16.0	15.0	11.0	9.0	16.0	16.0
03-44	16.0	16.0	9.0	8.0	15.0	16.0
03-46	16.0	16.0	10.0	9.0	14.0	16.0
03-48	16.0	16.0	10.0	9.0	16.0	16.0
03-50	16.0	16.0	10.0	10.0	14.0	15.0
03-52	15.0	15.0	10.0	10.0	14.0	15.0
03-54	17.0	17.0	11.0	9.0	16.0	16.0
03-56	15.0	15.0	10.0	9.0	15.0	15.0
03-58	16.0	16.0	10.0	10.0	14.0	16.0
04-00	17.0	16.0	12.0	10.0	17.0	17.0
04-02	16.0	15.0	9.0	10.0	14.0	16.0
04-04	17.0	17.0	10.0	10.0	16.0	16.0
04-06	16.0	16.0	11.0	10.0	14.0	16.0
04-08	15.0	14.0	10.0	8.0	15.0	15.0
04-10	15.0	15.0	11.0	8.0	15.0	15.0
04-12	16.0	16.0	10.0	9.0	16.0	16.0
04-14	15.0	15.0	9.0	8.0	14.0	15.0
04-16	16.0	15.0	11.0	9.0	14.0	15.0
04-18	16.0	16.0	11.0	9.0	16.0	16.0
04-20	16.0	16.0	11.0	9.0	15.0	16.0
04-22	15.0	15.0	9.0	9.0	13.0	15.0
04-24	16.0	17.0	9.0	10.0	14.0	17.0
04-26	15.0	15.0	10.0	9.0	14.0	15.0
04-28	16.0	16.0	9.0	9.0	13.0	16.0
