00-00	56.0	56.0	52.0	54.0	54.0
00-02	56.0	56.0	51.0	52.0	54.0
00-04	56.0	52.0	49.0	55.0	56.0
00-06	55.0	55.0	50.0	52.0	55.0
00-08	55.0	55.0	53.0	51.0	54.0
00-10	56.0	56.0	54.0	54.0	54.0
00-12	57.0	55.0	53.0	56.0	57.0
00-14	56.0	56.0	54.0	56.0	51.0
00-16	55.0	55.0	53.0	52.0	55.0
00-18	55.0	55.0	53.0	51.0	55.0
00-20	56.0	55.0	54.0	54.0	56.0
00-22	56.0	55.0	51.0	54.0	56.0
00-24	56.0	54.0	51.0	54.0	56.0
00-26	56.0	56.0	53.0	51.0	55.0
00-28	56.0	56.0	55.0	56.0	53.0
00-30	57.0	55.0	49.0	54.0	57.0
00-32	56.0	56.0	54.0	55.0	53.0
00-34	56.0	56.0	55.0	55.0	52.0
00-36	56.0	54.0	52.0	55.0	56.0
00-38	56.0	55.0	51.0	54.0	56.0
00-40	56.0	55.0	51.0	54.0	56.0
00-42	57.0	54.0	51.0	55.0	57.0
00-44	56.0	56.0	54.0	51.0	54.0
00-46	56.0	56.0	55.0	55.0	55.0
00-48	57.0	56.0	55.0	55.0	53.0
00-50	57.0	57.0	55.0	55.0	54.0
00-52	57.0	57.0	54.0	56.0	53.0
00-54	56.0	56.0	52.0	55.0	55.0
00-56	55.0	55.0	53.0	52.0	55.0
00-58	57.0	57.0	55.0	56.0	53.0
01-00	57.0	56.0	54.0	56.0	54.0
01-02	55.0	55.0	53.0	55.0	54.0
01-04	55.0	54.0	51.0	54.0	54.0
01-06	57.0	57.0	53.0	53.0	54.0
01-08	56.0	55.0	51.0	56.0	56.0
01-10	56.0	56.0	53.0	54.0	54.0
01-12	56.0	55.0	54.0	52.0	53.0
01-14	56.0	56.0	53.0	48.0	55.0
01-16	56.0	56.0	51.0	54.0	52.0
01-18	55.0	53.0	51.0	54.0	55.0
01-20	54.0	52.0	52.0	53.0	54.0
01-22	53.0	53.0	45.0	46.0	51.0
01-24	53.0	53.0	45.0	49.0	50.0
01-26	53.0	53.0	45.0	45.0	50.0
01-28	54.0	47.0	45.0	52.0	54.0
01-30	54.0	54.0	51.0	49.0	50.0
01-32	52.0	49.0	49.0	52.0	49.0
01-34	51.0	50.0	49.0	48.0	51.0
01-36	48.0	47.0	45.0	45.0	48.0
01-38	53.0	53.0	47.0	51.0	49.0
01-40	52.0	50.0	51.0	52.0	51.0
01-42	54.0	54.0	51.0	49.0	48.0
01-44	54.0	53.0	47.0	46.0	50.0
01-46	51.0	48.0	44.0	44.0	51.0
01-48	52.0	52.0	43.0	44.0	46.0
01-50	50.0	47.0	44.0	50.0	47.0
01-52	53.0	49.0	46.0	48.0	52.0
01-54	53.0	53.0	48.0	48.0	49.0
01-56	53.0	53.0	48.0	47.0	48.0
01-58	51.0	51.0	48.0	51.0	50.0
02-00	54.0	53.0	50.0	54.0	54.0
02-02	56.0	56.0	53.0	52.0	53.0
02-04	56.0	51.0	52.0	52.0	56.0
02-06	56.0	56.0	54.0	56.0	52.0
02-08	56.0	55.0	51.0	55.0	56.0
02-10	57.0	57.0	54.0	53.0	55.0
02-12	57.0	55.0	52.0	54.0	57.0
