00-00	55.0	55.0	51.0	55.0	55.0
00-02	55.0	55.0	55.0	55.0	53.0
00-04	54.0	54.0	52.0	49.0	49.0
00-06	54.0	54.0	48.0	48.0	51.0
00-08	54.0	54.0	46.0	47.0	50.0
00-10	55.0	55.0	52.0	48.0	47.0
00-12	55.0	50.0	47.0	52.0	55.0
00-14	55.0	55.0	51.0	49.0	49.0
00-16	53.0	49.0	51.0	49.0	53.0
00-18	55.0	55.0	51.0	49.0	50.0
00-20	54.0	54.0	49.0	51.0	50.0
00-22	55.0	50.0	48.0	54.0	55.0
00-24	54.0	54.0	52.0	52.0	50.0
00-26	55.0	55.0	51.0	47.0	48.0
00-28	54.0	54.0	48.0	53.0	52.0
00-30	55.0	55.0	52.0	50.0	49.0
00-32	57.0	54.0	50.0	55.0	57.0
00-34	57.0	56.0	50.0	54.0	57.0
00-36	56.0	55.0	56.0	56.0	53.0
00-38	57.0	57.0	56.0	56.0	55.0
00-40	57.0	56.0	53.0	55.0	56.0
00-42	57.0	57.0	52.0	56.0	58.0
00-44	57.0	57.0	55.0	56.0	54.0
00-46	55.0	53.0	55.0	53.0	55.0
00-48	54.0	54.0	49.0	52.0	51.0
00-50	53.0	53.0	47.0	48.0	50.0
00-52	53.0	53.0	48.0	47.0	51.0
00-54	54.0	54.0	48.0	48.0	50.0
00-56	54.0	54.0	47.0	47.0	50.0
00-58	54.0	54.0	47.0	48.0	51.0
01-00	51.0	51.0	51.0	51.0	51.0
01-02	53.0	50.0	47.0	53.0	53.0
01-04	52.0	49.0	46.0	52.0	52.0
01-06	54.0	52.0	52.0	54.0	52.0
01-08	57.0	57.0	53.0	55.0	53.0
01-10	58.0	58.0	54.0	52.0	56.0
01-12	58.0	56.0	51.0	56.0	58.0
01-14	58.0	52.0	54.0	58.0	57.0
01-16	58.0	58.0	56.0	56.0	54.0
01-18	57.0	56.0	55.0	55.0	57.0
01-20	58.0	56.0	50.0	54.0	58.0
01-22	57.0	55.0	51.0	53.0	57.0
01-24	56.0	56.0	54.0	53.0	53.0
01-26	53.0	50.0	47.0	53.0	53.0
01-28	53.0	53.0	48.0	49.0	51.0
01-30	54.0	54.0	48.0	48.0	53.0
01-32	54.0	54.0	48.0	52.0	49.0
01-34	53.0	51.0	51.0	49.0	53.0
01-36	55.0	55.0	52.0	49.0	48.0
01-38	54.0	54.0	48.0	49.0	54.0
01-40	53.0	53.0	47.0	47.0	53.0
01-42	56.0	56.0	51.0	52.0	56.0
01-44	57.0	57.0	53.0	52.0	54.0
01-46	57.0	57.0	56.0	56.0	54.0
01-48	57.0	55.0	52.0	55.0	56.0
01-50	57.0	57.0	55.0	56.0	53.0
01-52	56.0	56.0	52.0	56.0	56.0
01-54	56.0	55.0	56.0	56.0	53.0
01-56	57.0	55.0	51.0	52.0	57.0
01-58	57.0	57.0	52.0	52.0	55.0
02-00	57.0	57.0	51.0	53.0	55.0
02-02	58.0	58.0	53.0	55.0	53.0
02-04	56.0	56.0	52.0	56.0	55.0
02-06	58.0	58.0	56.0	54.0	54.0
02-08	57.0	56.0	50.0	53.0	56.0
02-10	57.0	54.0	55.0	57.0	56.0
02-12	58.0	58.0	55.0	56.0	54.0
02-14	58.0	58.0	56.0	57.0	54.0
02-16	57.0	57.0	56.0	57.0	54.0
02-18	58.0	58.0	56.0	58.0	55.0
02-20	57.0	57.0	55.0	57.0	55.0
02-22	57.0	57.0	57.0	57.0	52.0
02-24	58.0	58.0	56.0	57.0	53.0
02-26	57.0	57.0	55.0	57.0	53.0
02-28	57.0	57.0	55.0	56.0	55.0
02-30	58.0	57.0	55.0	57.0	54.0
02-32	58.0	58.0	56.0	56.0	52.0
02-34	57.0	57.0	54.0	53.0	57.0
02-36	58.0	58.0	55.0	54.0	56.0
02-38	58.0	58.0	54.0	56.0	54.0
02-40	57.0	57.0	54.0	55.0	56.0
02-42	57.0	53.0	51.0	53.0	57.0
02-44	56.0	56.0	53.0	56.0	56.0
02-46	59.0	53.0	51.0	57.0	59.0
02-48	55.0	55.0	49.0	51.0	51.0
02-50	54.0	54.0	47.0	46.0	47.0
02-52	52.0	49.0	45.0	45.0	52.0
02-54	49.0	48.0	45.0	49.0	48.0
02-56	49.0	48.0	45.0	49.0	48.0
02-58	54.0	54.0	48.0	49.0	50.0
03-00	52.0	52.0	48.0	52.0	52.0
03-02	52.0	52.0	48.0	51.0	50.0
03-04	55.0	55.0	48.0	49.0	50.0
03-06	55.0	55.0	49.0	49.0	50.0
03-08	52.0	51.0	52.0	51.0	50.0
03-10	55.0	55.0	53.0	49.0	48.0
03-12	56.0	56.0	53.0	51.0	50.0
03-14	55.0	55.0	52.0	51.0	49.0
03-16	56.0	56.0	54.0	53.0	52.0
03-18	57.0	56.0	55.0	55.0	53.0
03-20	57.0	56.0	52.0	56.0	57.0
03-22	56.0	56.0	56.0	53.0	56.0
03-24	57.0	57.0	55.0	55.0	57.0
03-26	58.0	58.0	55.0	52.0	56.0
03-28	58.0	58.0	56.0	56.0	53.0
03-30	57.0	57.0	54.0	53.0	55.0
03-32	56.0	56.0	54.0	55.0	53.0
03-34	56.0	56.0	51.0	55.0	55.0
03-36	57.0	55.0	52.0	53.0	57.0
03-38	57.0	58.0	56.0	53.0	53.0
03-40	57.0	57.0	51.0	53.0	57.0
03-42	58.0	54.0	53.0	55.0	58.0
03-44	58.0	54.0	52.0	56.0	58.0
03-46	57.0	56.0	53.0	56.0	57.0
03-48	57.0	57.0	55.0	54.0	56.0
03-50	57.0	57.0	54.0	57.0	57.0
03-52	58.0	56.0	52.0	56.0	58.0
03-54	58.0	55.0	54.0	57.0	58.0
03-56	58.0	57.0	55.0	54.0	56.0
03-58	57.0	57.0	57.0	56.0	53.0
04-00	58.0	58.0	55.0	54.0	56.0
04-02	57.0	57.0	55.0	56.0	53.0
04-04	58.0	58.0	56.0	56.0	53.0
04-06	58.0	53.0	54.0	57.0	58.0
04-08	57.0	57.0	55.0	55.0	56.0
04-10	58.0	58.0	56.0	57.0	54.0
04-12	56.0	56.0	54.0	50.0	51.0
04-14	54.0	50.0	52.0	50.0	55.0
04-16	54.0	55.0	48.0	48.0	54.0
04-18	55.0	52.0	51.0	51.0	54.0
04-20	55.0	55.0	52.0	49.0	51.0
