00-00	44.0	44.0	39.0	41.0	42.0
00-02	42.0	42.0	38.0	40.0	41.0
00-04	43.0	43.0	38.0	40.0	41.0
00-06	44.0	44.0	38.0	41.0	41.0
00-08	44.0	44.0	39.0	40.0	42.0
00-10	43.0	43.0	38.0	39.0	41.0
00-12	43.0	43.0	39.0	40.0	41.0
00-14	42.0	42.0	40.0	40.0	40.0
00-16	44.0	44.0	38.0	41.0	40.0
00-18	44.0	44.0	39.0	40.0	40.0
00-20	43.0	43.0	40.0	40.0	41.0
00-22	42.0	42.0	39.0	40.0	41.0
00-24	44.0	44.0	39.0	40.0	40.0
00-26	43.0	43.0	38.0	40.0	41.0
00-28	43.0	43.0	39.0	40.0	41.0
00-30	43.0	42.0	39.0	40.0	41.0
00-32	43.0	43.0	40.0	40.0	42.0
00-34	43.0	43.0	38.0	40.0	42.0
00-36	43.0	43.0	39.0	40.0	40.0
00-38	43.0	43.0	38.0	39.0	41.0
00-40	43.0	43.0	39.0	40.0	41.0
00-42	43.0	43.0	39.0	39.0	41.0
00-44	43.0	43.0	39.0	40.0	40.0
00-46	42.0	42.0	39.0	40.0	41.0
00-48	43.0	43.0	40.0	39.0	41.0
00-50	43.0	43.0	39.0	40.0	41.0
00-52	44.0	44.0	39.0	41.0	42.0
00-54	44.0	44.0	39.0	41.0	42.0
00-56	43.0	43.0	38.0	40.0	41.0
00-58	43.0	43.0	40.0	41.0	41.0
01-00	45.0	45.0	40.0	41.0	42.0
01-02	42.0	42.0	38.0	41.0	41.0
01-04	44.0	44.0	38.0	40.0	40.0
01-06	44.0	44.0	38.0	40.0	41.0
01-08	43.0	43.0	38.0	40.0	41.0
01-10	44.0	44.0	40.0	40.0	41.0
01-12	44.0	44.0	39.0	40.0	41.0
01-14	43.0	43.0	38.0	40.0	40.0
01-16	42.0	42.0	37.0	40.0	41.0
01-18	42.0	41.0	40.0	40.0	40.0
01-20	42.0	42.0	38.0	40.0	40.0
01-22	42.0	42.0	38.0	40.0	41.0
01-24	43.0	43.0	39.0	40.0	40.0
01-26	42.0	42.0	38.0	39.0	41.0
01-28	42.0	42.0	38.0	40.0	40.0
01-30	43.0	43.0	39.0	40.0	42.0
01-32	42.0	42.0	38.0	39.0	40.0
01-34	43.0	43.0	38.0	40.0	41.0
01-36	42.0	42.0	38.0	40.0	41.0
01-38	42.0	42.0	39.0	40.0	41.0
01-40	42.0	42.0	38.0	40.0	41.0
01-42	43.0	43.0	38.0	40.0	40.0
01-44	42.0	42.0	38.0	40.0	41.0
01-46	42.0	42.0	39.0	40.0	41.0
01-48	43.0	43.0	38.0	40.0	41.0
01-50	42.0	42.0	38.0	41.0	41.0
01-52	43.0	43.0	38.0	40.0	40.0
01-54	44.0	44.0	40.0	40.0	42.0
01-56	44.0	44.0	38.0	40.0	41.0
01-58	41.0	41.0	38.0	40.0	41.0
02-00	43.0	43.0	38.0	40.0	41.0
02-02	42.0	42.0	38.0	40.0	40.0
02-04	42.0	42.0	37.0	39.0	40.0
