00-00	44.0	41.0	44.0	40.0	40.0	43.0
00-02	47.0	45.0	45.0	46.0	44.0	46.0
00-04	44.0	38.0	35.0	39.0	44.0	44.0
00-06	44.0	42.0	44.0	41.0	40.0	44.0
00-08	47.0	47.0	44.0	43.0	44.0	47.0
00-10	43.0	37.0	36.0	43.0	39.0	43.0
00-12	52.0	52.0	45.0	46.0	45.0	52.0
00-14	43.0	36.0	34.0	37.0	42.0	42.0
00-16	41.0	36.0	32.0	37.0	41.0	41.0
00-18	40.0	36.0	35.0	40.0	36.0	40.0
00-20	54.0	51.0	54.0	50.0	49.0	54.0
00-22	45.0	37.0	36.0	39.0	45.0	45.0
00-24	47.0	43.0	42.0	47.0	43.0	47.0
00-26	43.0	40.0	43.0	38.0	39.0	42.0
00-28	46.0	46.0	44.0	45.0	46.0	46.0
00-30	42.0	38.0	37.0	43.0	40.0	43.0
00-32	43.0	37.0	35.0	39.0	44.0	44.0
00-34	42.0	38.0	36.0	42.0	38.0	42.0
00-36	43.0	41.0	43.0	40.0	39.0	43.0
00-38	42.0	39.0	42.0	38.0	38.0	42.0
00-40	42.0	38.0	36.0	42.0	39.0	42.0
00-42	46.0	46.0	44.0	46.0	45.0	46.0
00-44	43.0	38.0	36.0	39.0	43.0	43.0
00-46	45.0	42.0	40.0	45.0	41.0	45.0
00-48	44.0	39.0	38.0	44.0	41.0	44.0
00-50	47.0	46.0	45.0	47.0	46.0	47.0
00-52	44.0	38.0	35.0	44.0	40.0	44.0
00-54	46.0	43.0	41.0	46.0	43.0	46.0
00-56	46.0	44.0	44.0	46.0	45.0	46.0
00-58	44.0	44.0	37.0	37.0	39.0	44.0
01-00	43.0	37.0	37.0	40.0	43.0	43.0
01-02	44.0	39.0	43.0	39.0	40.0	43.0
01-04	43.0	40.0	43.0	39.0	39.0	43.0
01-06	44.0	39.0	36.0	39.0	45.0	45.0
01-08	44.0	44.0	35.0	36.0	36.0	44.0
01-10	37.0	36.0	38.0	36.0	34.0	38.0
01-12	39.0	36.0	39.0	35.0	35.0	39.0
