00-00	40.0	37.0	33.0	40.0	37.0	40.0
00-02	40.0	33.0	29.0	31.0	40.0	40.0
00-04	36.0	36.0	35.0	32.0	33.0	36.0
00-06	37.0	35.0	31.0	37.0	34.0	37.0
00-08	37.0	36.0	37.0	32.0	32.0	37.0
00-10	38.0	33.0	30.0	33.0	38.0	38.0
00-12	38.0	38.0	37.0	34.0	34.0	38.0
00-14	43.0	43.0	35.0	36.0	35.0	43.0
00-16	40.0	39.0	40.0	37.0	37.0	40.0
00-18	40.0	36.0	33.0	36.0	41.0	41.0
00-20	41.0	37.0	34.0	41.0	39.0	41.0
00-22	40.0	38.0	40.0	35.0	35.0	39.0
00-24	41.0	38.0	35.0	37.0	41.0	41.0
00-26	45.0	45.0	40.0	41.0	40.0	45.0
00-28	40.0	37.0	34.0	40.0	36.0	40.0
00-30	45.0	45.0	37.0	37.0	36.0	46.0
00-32	50.0	50.0	48.0	50.0	49.0	50.0
00-34	38.0	34.0	30.0	32.0	38.0	38.0
00-36	60.0	60.0	59.0	59.0	57.0	60.0
00-38	52.0	52.0	50.0	52.0	51.0	52.0
00-40	52.0	51.0	51.0	51.0	51.0	52.0
00-42	66.0	66.0	66.0	66.0	64.0	66.0
00-44	51.0	45.0	42.0	44.0	51.0	51.0
00-46	43.0	42.0	43.0	40.0	40.0	43.0
00-48	42.0	42.0	36.0	38.0	40.0	43.0
00-50	39.0	38.0	39.0	36.0	36.0	39.0
00-52	39.0	37.0	39.0	35.0	36.0	39.0
00-54	40.0	39.0	40.0	38.0	37.0	40.0
00-56	40.0	38.0	40.0	37.0	37.0	41.0
00-58	41.0	37.0	32.0	35.0	41.0	41.0
01-00	40.0	38.0	40.0	38.0	39.0	40.0
01-02	39.0	37.0	39.0	36.0	35.0	39.0
01-04	39.0	37.0	39.0	36.0	35.0	39.0
01-06	40.0	36.0	32.0	40.0	37.0	40.0
01-08	40.0	33.0	30.0	34.0	40.0	40.0
01-10	40.0	40.0	31.0	36.0	33.0	40.0
01-12	40.0	33.0	30.0	32.0	40.0	40.0
01-14	39.0	35.0	31.0	38.0	34.0	38.0
01-16	40.0	41.0	32.0	30.0	31.0	41.0
01-18	39.0	39.0	32.0	30.0	34.0	39.0
01-20	38.0	35.0	32.0	38.0	35.0	39.0
01-22	36.0	35.0	36.0	32.0	32.0	36.0
01-24	36.0	35.0	36.0	34.0	31.0	36.0
01-26	41.0	41.0	38.0	39.0	40.0	41.0
01-28	41.0	35.0	32.0	35.0	41.0	41.0
01-30	45.0	45.0	37.0	35.0	37.0	45.0
01-32	40.0	36.0	34.0	40.0	37.0	40.0
01-34	39.0	37.0	39.0	34.0	34.0	39.0
01-36	39.0	39.0	39.0	36.0	35.0	39.0
01-38	39.0	37.0	39.0	36.0	36.0	39.0
01-40	40.0	37.0	34.0	40.0	38.0	40.0
01-42	40.0	37.0	34.0	40.0	38.0	40.0
01-44	43.0	43.0	33.0	32.0	35.0	43.0
01-46	36.0	35.0	36.0	32.0	34.0	36.0
01-48	59.0	58.0	57.0	59.0	57.0	59.0
01-50	45.0	41.0	36.0	39.0	45.0	45.0
01-52	43.0	39.0	36.0	43.0	41.0	43.0
01-54	67.0	67.0	65.0	67.0	64.0	67.0
01-56	46.0	44.0	45.0	43.0	41.0	46.0
01-58	45.0	41.0	37.0	40.0	45.0	45.0
02-00	44.0	41.0	38.0	44.0	41.0	44.0
02-02	43.0	37.0	33.0	36.0	44.0	44.0
02-04	42.0	38.0	35.0	41.0	38.0	41.0
02-06	40.0	38.0	34.0	41.0	38.0	41.0
02-08	40.0	38.0	39.0	37.0	36.0	39.0
02-10	41.0	41.0	39.0	40.0	40.0	42.0
02-12	40.0	39.0	40.0	36.0	35.0	40.0
02-14	43.0	43.0	34.0	34.0	36.0	43.0
02-16	44.0	44.0	35.0	34.0	35.0	44.0
02-18	40.0	37.0	39.0	37.0	35.0	39.0
02-20	40.0	34.0	32.0	40.0	38.0	40.0
02-22	40.0	34.0	29.0	31.0	40.0	40.0
02-24	39.0	34.0	31.0	31.0	39.0	39.0
02-26	38.0	34.0	31.0	38.0	34.0	37.0
02-28	39.0	39.0	32.0	29.0	33.0	39.0
02-30	39.0	37.0	39.0	35.0	35.0	39.0
02-32	37.0	35.0	37.0	31.0	32.0	37.0
02-34	36.0	35.0	36.0	32.0	33.0	36.0
02-36	38.0	35.0	31.0	38.0	36.0	38.0
02-38	41.0	41.0	32.0	31.0	32.0	41.0
02-40	40.0	39.0	40.0	37.0	37.0	40.0
02-42	40.0	37.0	33.0	40.0	37.0	40.0
02-44	40.0	37.0	32.0	40.0	37.0	40.0
02-46	43.0	43.0	34.0	33.0	34.0	43.0
02-48	43.0	43.0	34.0	35.0	36.0	43.0
02-50	41.0	41.0	38.0	40.0	41.0	41.0
02-52	39.0	38.0	39.0	36.0	35.0	39.0
02-54	44.0	44.0	34.0	36.0	36.0	44.0
02-56	44.0	44.0	35.0	34.0	34.0	44.0
02-58	40.0	39.0	34.0	37.0	41.0	41.0
03-00	40.0	38.0	33.0	36.0	40.0	40.0
03-02	59.0	59.0	57.0	59.0	57.0	59.0
03-04	45.0	44.0	45.0	42.0	41.0	45.0
03-06	53.0	53.0	49.0	51.0	48.0	53.0
03-08	57.0	53.0	49.0	52.0	56.0	56.0
03-10	69.0	67.0	67.0	68.0	69.0	69.0
03-12	45.0	42.0	39.0	45.0	41.0	45.0
03-14	45.0	45.0	34.0	35.0	35.0	45.0
03-16	42.0	37.0	33.0	36.0	42.0	42.0
03-18	40.0	37.0	33.0	35.0	41.0	41.0
03-20	42.0	37.0	33.0	37.0	42.0	42.0
03-22	42.0	42.0	38.0	36.0	32.0	42.0
03-24	39.0	39.0	38.0	36.0	37.0	39.0
